video_file,feature_path,sentence_id,sentence,category
1A.mp4,features/pose_data/1A.npy,1,Where is the hospital entrance?,General hospital interactions
1C.mp4,features/pose_data/1C.npy,1,Where is the hospital entrance?,General hospital interactions
1D.mp4,features/pose_data/1D.npy,1,Where is the hospital entrance?,General hospital interactions
2A.mp4,features/pose_data/2A.npy,2,Can I speak to the receptionist?,General hospital interactions
2C.mp4,features/pose_data/2C.npy,2,Can I speak to the receptionist?,General hospital interactions
2D.mp4,features/pose_data/2D.npy,2,Can I speak to the receptionist?,General hospital interactions
3D.mp4,features/pose_data/3D.npy,3,What time does the hospital open?,General hospital interactions
3A.mp4,features/pose_data/3A.npy,3,What time does the hospital open?,General hospital interactions
3C.mp4,features/pose_data/3C.npy,3,What time does the hospital open?,General hospital interactions
4C.mp4,features/pose_data/4C.npy,4,Do I need an appointment to see the doctor?,General hospital interactions
4D.mp4,features/pose_data/4D.npy,4,Do I need an appointment to see the doctor?,General hospital interactions
4A.mp4,features/pose_data/4A.npy,4,Do I need an appointment to see the doctor?,General hospital interactions
5C.mp4,features/pose_data/5C.npy,5,"Is the emergency room open?""",General hospital interactions
5A.mp4,features/pose_data/5A.npy,5,"Is the emergency room open?""",General hospital interactions
5D.mp4,features/pose_data/5D.npy,5,"Is the emergency room open?""",General hospital interactions
6A.mp4,features/pose_data/6A.npy,6,Where is the waiting area?,General hospital interactions
6D.mp4,features/pose_data/6D.npy,6,Where is the waiting area?,General hospital interactions
6C.mp4,features/pose_data/6C.npy,6,Where is the waiting area?,General hospital interactions
7C.mp4,features/pose_data/7C.npy,7,What floor is the pediatric ward on?,General hospital interactions
7D.mp4,features/pose_data/7D.npy,7,What floor is the pediatric ward on?,General hospital interactions
7A.mp4,features/pose_data/7A.npy,7,What floor is the pediatric ward on?,General hospital interactions
8A.mp4,features/pose_data/8A.npy,8,Please take a seat in the waiting room.,General hospital interactions
8C.mp4,features/pose_data/8C.npy,8,Please take a seat in the waiting room.,General hospital interactions
8D.mp4,features/pose_data/8D.npy,8,Please take a seat in the waiting room.,General hospital interactions
10D.mp4,features/pose_data/10D.npy,10,Can I get directions to the lab?,General hospital interactions
10A.mp4,features/pose_data/10A.npy,10,Can I get directions to the lab?,General hospital interactions
10C.mp4,features/pose_data/10C.npy,10,Can I get directions to the lab?,General hospital interactions
11D.mp4,features/pose_data/11D.npy,11,I am here to visit a patient.,General hospital interactions
11C.mp4,features/pose_data/11C.npy,11,I am here to visit a patient.,General hospital interactions
11A.mp4,features/pose_data/11A.npy,11,I am here to visit a patient.,General hospital interactions
12D.mp4,features/pose_data/12D.npy,12,What are the visiting hours?,General hospital interactions
12A.mp4,features/pose_data/12A.npy,12,What are the visiting hours?,General hospital interactions
12C.mp4,features/pose_data/12C.npy,12,What are the visiting hours?,General hospital interactions
14D.mp4,features/pose_data/14D.npy,14,Is this the maternity ward?,General hospital interactions
14A.mp4,features/pose_data/14A.npy,14,Is this the maternity ward?,General hospital interactions
14C.mp4,features/pose_data/14C.npy,14,Is this the maternity ward?,General hospital interactions
15D.mp4,features/pose_data/15D.npy,15,How long do I have to wait?,General hospital interactions
15C.mp4,features/pose_data/15C.npy,15,How long do I have to wait?,General hospital interactions
15A.mp4,features/pose_data/15A.npy,15,How long do I have to wait?,General hospital interactions
16C.mp4,features/pose_data/16C.npy,16,Please sign in at the front desk.,General hospital interactions
16A.mp4,features/pose_data/16A.npy,16,Please sign in at the front desk.,General hospital interactions
16D.mp4,features/pose_data/16D.npy,16,Please sign in at the front desk.,General hospital interactions
17A.mp4,features/pose_data/17A.npy,17,Where can I find the drugs store?,General hospital interactions
17C.mp4,features/pose_data/17C.npy,17,Where can I find the drugs store?,General hospital interactions
17D.mp4,features/pose_data/17D.npy,17,Where can I find the drugs store?,General hospital interactions
18C.mp4,features/pose_data/18C.npy,18,What is your full name?,General hospital interactions
18D.mp4,features/pose_data/18D.npy,18,What is your full name?,General hospital interactions
18A.mp4,features/pose_data/18A.npy,18,What is your full name?,General hospital interactions
19C.mp4,features/pose_data/19C.npy,19,Please take a number and wait your turn.,General hospital interactions
19D.mp4,features/pose_data/19D.npy,19,Please take a number and wait your turn.,General hospital interactions
19A.mp4,features/pose_data/19A.npy,19,Please take a number and wait your turn.,General hospital interactions
20C.mp4,features/pose_data/20C.npy,20,Are there elevators in this building?,General hospital interactions
20D.mp4,features/pose_data/20D.npy,20,Are there elevators in this building?,General hospital interactions
20A.mp4,features/pose_data/20A.npy,20,Are there elevators in this building?,General hospital interactions
21C.mp4,features/pose_data/21C.npy,21,The cafeteria is on the ground floor.,General hospital interactions
21D.mp4,features/pose_data/21D.npy,21,The cafeteria is on the ground floor.,General hospital interactions
21A.mp4,features/pose_data/21A.npy,21,The cafeteria is on the ground floor.,General hospital interactions
22D.mp4,features/pose_data/22D.npy,22,Where is the nearest restroom?,General hospital interactions
22C.mp4,features/pose_data/22C.npy,22,Where is the nearest restroom?,General hospital interactions
22A.mp4,features/pose_data/22A.npy,22,Where is the nearest restroom?,General hospital interactions
23A.mp4,features/pose_data/23A.npy,23,Do you accept walk-in patients (first timers)?,General hospital interactions
23D.mp4,features/pose_data/23D.npy,23,Do you accept walk-in patients (first timers)?,General hospital interactions
23C.mp4,features/pose_data/23C.npy,23,Do you accept walk-in patients (first timers)?,General hospital interactions
25A.mp4,features/pose_data/25A.npy,25,What services does this hospital provide?,General hospital interactions
25C.mp4,features/pose_data/25C.npy,25,What services does this hospital provide?,General hospital interactions
25D.mp4,features/pose_data/25D.npy,25,What services does this hospital provide?,General hospital interactions
26C.mp4,features/pose_data/26C.npy,26,Do you have a parking space available?,General hospital interactions
26D.mp4,features/pose_data/26D.npy,26,Do you have a parking space available?,General hospital interactions
26A.mp4,features/pose_data/26A.npy,26,Do you have a parking space available?,General hospital interactions
28A.mp4,features/pose_data/28A.npy,28,Is the doctor running late?,General hospital interactions
28C.mp4,features/pose_data/28C.npy,28,Is the doctor running late?,General hospital interactions
28D.mp4,features/pose_data/28D.npy,28,Is the doctor running late?,General hospital interactions
29A.mp4,features/pose_data/29A.npy,29,Please go to Room 5 for your consultation.,General hospital interactions
29D.mp4,features/pose_data/29D.npy,29,Please go to Room 5 for your consultation.,General hospital interactions
29C.mp4,features/pose_data/29C.npy,29,Please go to Room 5 for your consultation.,General hospital interactions
31C.mp4,features/pose_data/31C.npy,31,Where is the outpatient department (OPD)?,General hospital interactions
31D.mp4,features/pose_data/31D.npy,31,Where is the outpatient department (OPD)?,General hospital interactions
31A.mp4,features/pose_data/31A.npy,31,Where is the outpatient department (OPD)?,General hospital interactions
32C.mp4,features/pose_data/32C.npy,32,Is this a private or government hospital?,General hospital interactions
